curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,50.20844699420135,53.45466046091672,52.802372287758324,59.53789339156226,63.252835814867396,90.26760231297104,109.66033444105068,87.97763640501053,80.51282967534145,83.12485676926194,61.87577298573063,69.13043439560441,70.80746815849176,61.31493848447175,74.81015592624333,54.21537854657417,47.442329985419704,46.48575002560241,102.66630955601391,57.8458047803978,42.42395082771329,45.5631269059391,43.92037953200165,43.74393995070227,39.2898030071728,37.10216312348294,42.160050683750384,43.89705097787524,43.7780273529559,47.16421241372195,45.811207705706735,46.278337639130875,47.70652128093773,45.99887275512753,48.36092257873715,48.93448279134531,49.191532950878674,44.07794560325218,48.171549891143016
mean,55.65192837465565,61.32839099395936,62.40703314470493,72.55690200210748,77.87257963772642,108.8336,133.49129239230064,107.9327122153209,100.51923076923077,109.14356435643565,82.31683168316832,90.30683229813664,92.37004405286343,81.82142857142857,96.78658536585365,78.35992217898833,68.05679862306368,66.04069767441861,132.95756457564576,83.91666666666667,49.93781094527363,52.16005014625993,49.668034315553896,49.36543558932674,44.590848585690516,41.88588101799319,47.627899586908164,49.43130489335006,48.95303781773094,52.77506485579124,51.330131680867545,51.851193190454474,53.34562350119904,51.56586917019988,53.921731396383045,54.57284024554574,54.857058125741396,49.415004465614764,53.70435806831566
upper,61.09540975510994,69.202121527002,72.01169400165153,85.5759106126527,92.49232346058544,127.39959768702897,157.3222503435506,127.88778802563128,120.5256318631201,135.16227194360937,102.757890380606,111.48323020066887,113.93261994723511,102.32791865838539,118.76301480546398,102.50446581140248,88.67126726070767,85.5956453232348,163.2488195952776,109.98752855293554,57.451671062833974,58.75697338658075,55.415689099106146,54.9869312279512,49.89189416420823,46.669598912503446,53.095748490065944,54.96555880882488,54.12804828250597,58.38591729786054,56.849055656028355,57.42404874177807,58.98472572146036,57.132865585272235,59.48254021402894,60.21119769974617,60.52258330060412,54.752063327977346,59.23716624548831
