curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,0.9631531724750211,0.9638956027443557,0.9647498162494237,0.9652272438084503,0.9653007469767393,0.9655507006388904,0.9657361553321319,0.9655738718892956,0.9659956841062508,0.9666371077542153,0.9670972909067069,0.9666587614266935,0.9670937253600405,0.9670460510586937,0.9681380320378814,0.9679638397538153,0.9677073969563574,0.9688137471260353,0.9681962167956916,0.9681799955110132,0.9623021456492256,0.9621592124099341,0.9622938417843766,0.9625368023658296,0.9624950203530968,0.9626307746572521,0.9627119713986575,0.9626785116235119,0.962669185260931,0.9626208779600549,0.9627606479468332,0.9627281851987797,0.9627828417961238,0.9626633200421293,0.9627401244541657,0.9627836538406501,0.9626837620974669,0.962778372864164,0.9628255909009054
mean,0.9632116472092832,0.9639824878625852,0.9648551900844935,0.9653527875396443,0.9654512208909416,0.9656986942330378,0.9659150210025437,0.9657645709904114,0.9661900860501511,0.9668578757276559,0.9673194808519989,0.9668983120745399,0.9673362422903697,0.9673129322243893,0.9684074301780606,0.9682427718879429,0.9679923437205713,0.9691079185174829,0.9685087699268712,0.9685228509785433,0.9623777458392871,0.9622252042999417,0.9623557633732108,0.9625970731954565,0.9625557313974047,0.9626897728918794,0.9627708654368198,0.9627372762555998,0.9627267013075002,0.9626779926910836,0.9628186462335452,0.9627858796052815,0.9628403559529836,0.9627194512431575,0.9627970617380747,0.9628409542590903,0.9627396254899023,0.9628350123468076,0.9628822834148612
upper,0.9632701219435453,0.9640693729808147,0.9649605639195633,0.9654783312708383,0.9656016948051439,0.9658466878271852,0.9660938866729555,0.9659552700915272,0.9663844879940514,0.9670786437010965,0.9675416707972909,0.9671378627223863,0.967578759220699,0.9675798133900849,0.9686768283182399,0.9685217040220706,0.9682772904847852,0.9694020899089305,0.9688213230580508,0.9688657064460734,0.9624533460293487,0.9622911961899494,0.962417684962045,0.9626573440250834,0.9626164424417126,0.9627487711265067,0.9628297594749821,0.9627960408876877,0.9627842173540693,0.9627351074221122,0.9628766445202571,0.9628435740117833,0.9628978701098433,0.9627755824441857,0.9628539990219837,0.9628982546775305,0.9627954888823378,0.9628916518294511,0.9629389759288169
