curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,0.01930227133558476,0.038676538423672815,0.05720642477280785,0.07171180276831128,0.07972498823644943,0.10146246710459822,0.11389777233001575,0.11941221252719003,0.13104281450766445,0.15290414478064018,0.1700843468723311,0.17177060042433379,0.16854544997732546,0.18317747352800853,0.1938173818004211,0.2043163176009015,0.2046291295637468,0.2124193549106326,0.2266943660921609,0.2204073275580309,-0.003241800036668404,-0.00095707077950122,0.00029678050416831383,0.00270277704700407,0.0018041184827665671,0.0001837725865036943,0.0025288239851686467,0.0034637618787635785,0.0031577468787329062,0.0032082192222679913,0.00519250918356216,0.005985117450231109,0.0058901560425641,0.006493999663016054,0.006654213393074682,0.006874203402233193,0.007514999968099239,0.006414411268601811,0.008024446427051513
mean,0.02035475031982059,0.04057155725092458,0.05998464126945212,0.0751864597699659,0.08380082972543262,0.10636551825661118,0.11913302591312303,0.1251978626648323,0.1375144985574641,0.1602555078342943,0.1780395974759618,0.180379375079611,0.17732778883170078,0.19255315422575683,0.20386793024300084,0.2147820587860121,0.2152083333624773,0.22357516301344052,0.23776251984693436,0.23217895120684315,-0.002823379425698165,-0.00044251602866047677,0.0008624342909187157,0.003351168697544292,0.0023981804723596603,0.0006681501036420083,0.0031303494618289624,0.004088895379651014,0.003744091455947839,0.0037973597944020196,0.005858082115297461,0.006676957562298114,0.006569532096685934,0.007190190019428726,0.007356795371161348,0.0075843077387426384,0.00824657494022628,0.007106518695920658,0.008768860171664596
upper,0.021407229304056422,0.042466576078176346,0.06276285776609639,0.0786611167716205,0.08787667121441582,0.11126856940862415,0.1243682794962303,0.13098351280247456,0.14398618260726373,0.1676068708879484,0.1859948480795925,0.1889881497348882,0.1861101276860761,0.20192883492350513,0.2139184786855806,0.22524779997112268,0.2257875371612078,0.23473097111624844,0.24883067360170782,0.24395057485565538,-0.002404958814727926,7.20387221802665e-05,0.0014280880776691175,0.003999560348084514,0.0029922424619527534,0.0011525276207803223,0.003731874938489278,0.00471402888053845,0.004330436033162772,0.004386500366536048,0.006523655047032763,0.007368797674365119,0.007248908150807767,0.007886380375841398,0.008059377349248015,0.008294412075252085,0.008978149912353321,0.007798626123239505,0.009513273916277678
