curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,0.9420404366663034,0.9443678197830429,0.945869865769962,0.9479448519134611,0.9481274293135566,0.949851072720956,0.9519339657077782,0.9521182789250155,0.9529674709489736,0.9541887311436722,0.9554324184324227,0.9552172489799562,0.9556684157660946,0.956342371429396,0.9572487687328584,0.9569120726611359,0.9577458385735258,0.9580417180303965,0.9591169881447931,0.9587454371185,0.9392832157318337,0.9399669459038502,0.9398904250235222,0.9403605550106361,0.9403680183417014,0.9400329899066877,0.9403502341006282,0.9404908542466675,0.9405677148197554,0.9406071969269494,0.9408191669318285,0.9408265829975934,0.9408702725060347,0.9409256304437381,0.9410217069852518,0.9409883145038944,0.9410647795613262,0.9409795624366698,0.941106106837281
mean,0.942153663593049,0.9445328774864529,0.9460898275597306,0.9481956965903031,0.9484258104518156,0.9501785372983774,0.9522565940976305,0.9524723933534224,0.9533578793849682,0.9546199205481085,0.9558753916945875,0.9557083277085345,0.9561605162574413,0.9568566058812007,0.9577936602627011,0.9574911026391677,0.9583128119220742,0.958639549110308,0.9596842707499018,0.9593519906693632,0.9394259465751446,0.9400880144467918,0.9400057601659889,0.9404727250376791,0.9404783012092055,0.9401401403495937,0.9404584264547896,0.9405981280825075,0.9406735233474292,0.9407128402358381,0.9409257433988857,0.9409331812112022,0.9409766302212703,0.9410317077785306,0.9411283171881537,0.9410946146770751,0.9411714099380885,0.9410853966004444,0.9412129876579866
upper,0.9422668905197945,0.9446979351898629,0.9463097893494992,0.9484465412671451,0.9487241915900746,0.9505060018757988,0.9525792224874828,0.9528265077818292,0.9537482878209628,0.9550511099525448,0.9563183649567523,0.9561994064371129,0.9566526167487879,0.9573708403330053,0.9583385517925438,0.9580701326171995,0.9588797852706226,0.9592373801902195,0.9602515533550106,0.9599585442202263,0.9395686774184554,0.9402090829897334,0.9401210953084557,0.9405848950647221,0.9405885840767096,0.9402472907924997,0.940566618808951,0.9407054019183476,0.9407793318751029,0.9408184835447269,0.9410323198659428,0.941039779424811,0.9410829879365059,0.9411377851133231,0.9412349273910556,0.9412009148502558,0.9412780403148507,0.9411912307642191,0.9413198684786921
