curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,26.1219184588497,27.47077165465014,33.513701050141286,32.97358296255705,36.411306681030794,35.47556453636405,37.85177750177707,34.467893042687024,33.09932407193882,31.69017227176738,35.86786807715765,39.466417485445845,35.530313571321926,37.81153903938349,36.53437567538873,38.78795453481349,36.458176593271354,41.322301745918914,36.690474493389125,40.94624762943988,23.57299604122295,21.50381489064277,22.556478062880135,21.99782936311854,23.496087256838972,23.313664742631314,24.28186102712451,24.669743848730374,24.957471070335625,24.54910319801597,24.22956815037033,24.725285834987357,24.66060373506454,24.82898745948923,24.696967683297373,24.94341067174851,24.638572615750387,25.016529387546086,24.69057401997965
mean,27.541823296253675,29.749042960442363,36.895608351331894,36.37526271072754,40.17636959575464,40.248962040332145,43.11180842279108,39.916444969947776,38.67865118356409,37.19863929048718,42.550546812483326,46.52489568845619,42.718179095537586,44.76625716625717,43.12411227595536,46.40986579615524,44.04610065309259,50.67316062176166,44.60867733782646,50.08068922042446,25.23510184870434,22.778015785715663,24.00461976471431,23.424977538185086,24.89366830444053,24.68928895612708,25.696566315511085,26.101597019666734,26.405978936538105,25.95036203190406,25.619994367783722,26.125006989878656,26.08346161847306,26.267151709638153,26.11068009243975,26.364884115938853,26.02095796143626,26.438757452832757,26.081496507876
upper,28.96172813365765,32.02731426623459,40.2775156525225,39.77694245889803,43.94143251047849,45.022359544300244,48.371839343805085,45.36499689720853,44.25797829518937,42.70710630920698,49.233225547809,53.583373891466536,49.906044619753246,51.72097529313085,49.71384887652199,54.03177705749699,51.63402471291382,60.02401949760441,52.52688018226379,59.21513081140904,26.897207656185728,24.052216680788558,25.452761466548484,24.85212571325163,26.29124935204209,26.064913169622844,27.11127160389766,27.533450190603094,27.854486802740585,27.35162086579215,27.010420585197114,27.524728144769956,27.506319501881578,27.705315959787075,27.524392501582128,27.786357560129197,27.40334330712213,27.860985518119428,27.47241899577235
