curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=21|intra_community,k=22|intra_community,k=23|intra_community,k=24|intra_community,k=25|intra_community,k=26|intra_community,k=27|intra_community,k=28|intra_community,k=29|intra_community,k=30|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community,k=21|inter_community,k=22|inter_community,k=23|inter_community,k=24|inter_community,k=25|inter_community,k=26|inter_community,k=27|inter_community,k=28|inter_community,k=29|inter_community,k=30|inter_community
lower,0.055777153963853784,0.09146053943764483,0.1276900124421038,0.13511198178213255,0.16452711859185626,0.18902594288251037,0.1633329591069401,0.2009725878745333,0.22202797221072704,0.22957958681533677,0.22754889908110157,0.23164076119988597,0.23554301424630364,0.243464769161197,0.23980997130963125,0.24443900382325923,0.24467407504218439,0.24810180492458314,0.24639899618796748,0.25048132575242976,0.24945424826862736,0.2717575151243273,0.2576740859941671,0.2684358617026168,0.24813256548630303,0.2508159265659089,0.2573439138058682,0.26104065777013463,0.27059008877295154,0.26796401111638946,0.013434455905232427,0.011497255116823934,0.023152859448777017,0.018536534952718498,0.018234345539190504,0.024250069376862988,0.021720923457119026,0.021406595211243048,0.02229914990015072,0.023661440953370926,0.022800675438739457,0.023439199641151265,0.024653618736986287,0.022638884936793363,0.02434285852781074,0.023189153840848,0.026451470732244815,0.02425831023566444,0.023580569476801257,0.02537407727099691,0.02957769375170024,0.025266116551898404,0.02827196133024321,0.028214770368404793,0.028151713758824568,0.028168376090666865,0.027127859325301398,0.02965903713075165,0.030226674786834426
mean,0.057722725886233776,0.09493622680641892,0.13258100595963473,0.14097684219817078,0.17143143997389623,0.19696440016314165,0.17070295299916197,0.20980179936413448,0.23183786722660718,0.23988376027547223,0.23791517629024017,0.24213785237086524,0.24625778528449277,0.2548091084173558,0.25066385669125396,0.2557971668320852,0.25586074177746676,0.26003758756193407,0.25782722215915543,0.2619841647950271,0.26121478663972425,0.28579989812123574,0.2698666142622025,0.2818955042527339,0.2605148330794454,0.2633075137574003,0.27020493674625984,0.27371087771151104,0.2845863987080567,0.2817028985507246,0.0146076568015205,0.012472439037926912,0.024533347407681077,0.01970451617776025,0.019386326904644455,0.02559773828756058,0.02298442081191018,0.022632469848562705,0.023543295912041292,0.024959305480195332,0.024052925360812473,0.024726756774732298,0.02596141206712723,0.02388441451397693,0.025636622075411716,0.024445872738958773,0.02780184238643911,0.02555136188758861,0.024853609030241964,0.026701650370735457,0.030980571267961915,0.026578288747682966,0.029651751151747615,0.02959838437079263,0.029535864978902954,0.02954710583676435,0.02850318982967345,0.031064958796759967,0.03168318221866521
upper,0.05966829780861377,0.098411914175193,0.13747199947716568,0.146841702614209,0.1783357613559362,0.20490285744377293,0.17807294689138384,0.21863101085373568,0.24164776224248732,0.2501879337356077,0.24828145349937877,0.2526349435418445,0.2569725563226819,0.2661534476735146,0.26151774207287665,0.26715532984091117,0.26704740851274916,0.271973370199285,0.2692554481303434,0.2734870038376245,0.2729753250108211,0.2998422811181442,0.2820591425302379,0.295355146802851,0.27289710067258777,0.2757991009488917,0.2830659596866515,0.28638109765288744,0.29858270864316183,0.29544178598505977,0.015780857697808574,0.01344762295902989,0.025913835366585137,0.020872497402802,0.020538308270098407,0.026945407198258175,0.024247918166701334,0.023858344485882362,0.024787441923931865,0.02625717000701974,0.02530517528288549,0.02601431390831333,0.027269205397268174,0.025129944091160497,0.02693038562301269,0.025702591637069547,0.029152214040633406,0.026844413539512776,0.02612664858368267,0.028029223470474002,0.03238344878422359,0.02789046094346753,0.03103154097325202,0.03098199837318047,0.03092001619898134,0.030925835582861834,0.029878520334045502,0.03247088046276829,0.03313968965049599
