curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,6.916173169831713,12.686713310819576,16.24527186513922,21.022733469013925,23.667630568028454,26.632561022231314,27.2773243409663,29.490405669210837,29.27525324370646,34.10884688005913,36.17752805943948,33.83548567838915,36.27625975749062,39.90948221320865,37.64523261702553,42.78782677578695,47.277882450424315,46.65747965853764,46.74966049268286,44.23161815064334,1.0056195584312364,1.5846157964365464,1.8247353348908335,2.55495538445377,2.8758496068641755,3.2907146248710037,3.531722468341664,3.9473567768455036,3.7102310825699414,3.7586408122203134,4.325457241721282,4.1947471288918665,4.157498591507932,4.445728712090425,4.417144081260568,4.29623485790147,4.4520725889365265,4.504721606216621,4.773222188167381
mean,7.288844221105528,13.406112003211561,17.216594070535336,22.309491590953026,25.254625,28.512187690432665,29.313211452224905,31.840617481956695,31.77158273381295,36.90183896620278,39.15562735595046,36.97338173018754,39.53711790393013,43.57905544147844,41.24821173104435,46.80668841761827,51.630642361111114,51.244313011828936,51.381640260950604,48.97183794466403,1.1543377616747181,1.7615192051943989,2.0126977660080123,2.7691509433962262,3.0973041280539175,3.533262749250044,3.7709697805354474,4.208418194161575,3.9580444991055455,4.009089397550296,4.599715021647394,4.46357326337651,4.413417213514832,4.722894822181386,4.694387919031809,4.564193513974824,4.719456411892985,4.775880384554098,5.055511435832274
upper,7.661515272379343,14.125510695603547,18.187916275931453,23.596249712892128,26.841619431971548,30.391814358634015,31.349098563483512,34.19082929470255,34.26791222391944,39.69483105234643,42.133726652461434,40.11127778198593,42.79797605036964,47.24862866974823,44.85119084506317,50.82555005944959,55.983402271797914,55.83114636512023,56.01362002921835,53.71205773868472,1.3030559649181999,1.9384226139522513,2.2006601971251913,2.9833465023386827,3.3187586492436596,3.775810873629084,4.010217092729231,4.469479611477646,4.2058579156411495,4.259537982880279,4.8739728015735055,4.732399397861154,4.669335835521733,5.000060932272348,4.97163175680305,4.832152170048178,4.986840234849443,5.047039162891575,5.337800683497168
