curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,127.77874864125671,127.76625307850672,141.53740498111827,101.2241786785578,149.57884537947527,114.6042908751908,78.98055821269135,103.00028359728634,137.11650034928164,116.532480618669,125.12758650089312,107.5846728431715,108.51004894001946,113.65126403303233,50.10623642123813,127.2906023867906,45.66104803565301,267.13198456366354,137.93110604177744,61.63999061205212,102.68766485601209,98.28823459970486,124.92824884128484,107.77393608078609,118.1937575585837,128.29547194428955,119.754930752502,112.29769279639672,118.08330232842738,117.21916237759191,119.44008585677514,121.5380592015363,118.76990966010871,130.69640911814417,119.02286923413645,128.67007357364392,105.88080464521859,119.00906636643995,122.91239503967199
mean,158.92390572390573,169.2235939643347,199.92994746059546,143.50123456790124,225.359477124183,186.48529411764707,133.30645161290323,200.33497536945814,257.6492890995261,229.70731707317074,235.46341463414635,232.5857142857143,196.97297297297297,249.34883720930233,95.70434782608696,269.7450980392157,120.8125,561.7802197802198,289.8181818181818,244.69230769230768,148.9920634920635,133.30634573304158,164.7074074074074,141.6810856658185,152.74361088211046,164.05982215036377,152.3666146645866,142.5729984301413,150.13626040878123,149.42165026495078,151.25650557620818,154.71204188481676,150.32153392330383,164.23065693430658,150.75054229934923,161.55795536357093,132.62553802008608,150.67859699355762,154.16915422885572
upper,190.06906280655474,210.68093485016266,258.32248994007267,185.77829045724468,301.1401088688907,258.3662973601033,187.63234501311513,297.66966714162993,378.1820778497705,342.8821535276725,345.79924276739956,357.58675572825706,285.43589700592645,385.04641038557236,141.3024592309358,412.19959369164076,195.963951964347,856.428454996776,441.7052575945862,427.74462477256327,195.2964621281149,168.32445686637828,204.48656597352996,175.58823525085091,187.29346420563724,199.824172356438,184.9782985766712,172.84830406388588,182.18921848913507,181.62413815230965,183.07292529564123,187.8860245680972,181.87315818649896,197.764904750469,182.478215364562,194.44583715349793,159.3702713949536,182.34812762067529,185.42591341803944
