curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,50.777204985308416,76.51469027960052,47.39426720262049,42.39721879360549,36.767704875843755,37.82174406970809,27.140637492997943,11.360355940271097,12.35894650214452,7.091606305175922,18.077102131276686,19.592627554854005,17.350752765701703,8.185220531313483,1.9709582921184978,5.927510975271938,5.970203588085086,3.9312639020753775,2.559087373093419,11.734774673342315,13.56189254062357,43.63619978630415,47.28696071840857,50.55644004493858,48.98503023158392,52.545104813514754,58.61041458322186,58.32890599404742,59.98125511151733,53.142128121395416,53.326401419566736,54.251709226051815,55.730741539322864,56.98405409662767,56.80852992492484,56.22340212413808,55.995350138973855,56.31013892200044,53.81278921611265
mean,64.20078431372549,98.86106870229008,69.82309124767225,63.35787321063395,57.3646288209607,61.77745664739884,48.84027777777778,22.265917602996254,28.73,16.75563909774436,44.379464285714285,39.33165829145729,34.4780487804878,21.264044943820224,10.721893491124261,17.922279792746114,17.091954022988507,15.74074074074074,14.097560975609756,30.11111111111111,27.583870967741934,60.109756097560975,64.72519083969466,68.03304773561811,65.10333692142088,68.68287740628166,75.30853174603175,75.11487179487179,76.70862239841428,68.42530922930543,68.80018587360595,69.89532710280373,71.16773017319963,72.37251356238698,72.45563770794824,71.64577656675749,71.25426774483378,71.59675967596759,68.84937611408199
upper,77.62436364214257,121.20744712497965,92.25191529272402,84.3185276276624,77.96155276607763,85.7331692250896,70.53991806255762,33.17147926572141,45.10105349785548,26.4196718903128,70.68182644015188,59.07068902806057,51.60534479527391,34.342869356326965,19.472828690130022,29.91704861022029,28.21370445789193,27.5502175794061,25.636034578126093,48.487447548879906,41.6058493948603,76.5833124088178,82.16342096098074,85.50965542629764,81.22164361125783,84.82064999904857,92.00664890884164,91.90083759569616,93.43598968531123,83.70849033721544,84.27397032764517,85.53894497955565,86.6047188070764,87.7609730281463,88.10274549097164,87.06815100937689,86.51318535069372,86.88338042993473,83.88596301205133
