curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,111.941636714361,108.56160574175468,143.7788025321935,141.6324559251328,122.91459348478406,132.1234297625195,140.53920524525645,146.17933940421273,133.24935652260675,129.16146915281055,131.97817424011922,138.6327347374443,168.07052330459652,133.77252783764405,130.4155947062843,164.7096846961079,163.56678622453853,122.0064245867454,119.01441667105527,115.04238264605692,107.21686224846329,88.24019616634969,95.31880394354812,104.10876238161204,103.04584812105796,103.25216694509126,103.22853349475002,105.91555259854474,107.00347364264967,106.54336846091044,106.46116739694511,103.71659295639796,107.32976809065926,108.14525854408423,105.42711687988141,105.84601935489604,109.20538885586255,109.48527245665935,110.00036234713477
mean,121.73303337082865,122.64326898972173,163.6907871514296,164.06492912665752,146.5173393973849,158.43673469387755,169.28424657534248,177.77497575169738,163.82900432900433,160.57142857142858,168.83375959079285,178.01472754050073,211.7246596066566,177.65587734241907,173.49027237354085,214.11153846153846,220.2997858672377,160.13588110403398,159.23218390804598,150.97101449275362,120.82801595214357,98.73258513931889,105.80942552459581,114.7487984620314,113.47175011483694,113.6048587735987,113.44332855093256,116.23682351278791,117.30409356725146,116.63083529574733,116.5137940453428,113.62888283378747,117.30536822228217,118.17977828235608,115.31185670364924,115.62330767188745,119.33094289508632,119.57705524715834,120.13760379596678
upper,131.5244300272963,136.7249322376888,183.60277177066567,186.49740232818223,170.1200853099857,184.75003962523562,198.0292879054285,209.37061209918204,194.40865213540192,191.9813879900466,205.6893449414665,217.39672034355715,255.37879590871665,221.5392268471941,216.56495004079738,263.513392226969,277.03278550993684,198.26533762132257,199.4499511450367,186.89964633945033,134.43916965582386,109.22497411228808,116.3000471056435,125.38883454245077,123.89765210861592,123.95755060210615,123.6581236071151,126.55809442703108,127.60471349185325,126.71830213058422,126.5664206937405,123.54117271117698,127.28096835390508,128.21429802062792,125.19659652741707,125.40059598887885,129.4564969343101,129.66883803765734,130.2748452447988
