curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,41.0958230986718,50.97095750241509,35.967984126845856,45.36092549778914,44.032834228686255,33.303427773415834,41.494666321713396,46.54235162183071,52.78836063315816,31.39683670196298,37.052321700608786,30.97381777902702,44.16993044494353,43.491182821768746,31.82286198318665,41.802547147176696,27.93943843122377,47.846206302452984,37.53184120509469,33.039838160950985,25.991403393709536,40.97730519280839,37.369552729398535,38.388009466568946,40.85299496319024,39.23868961549216,38.5314290114499,37.54883768820177,40.59595474881766,39.93929018123561,40.45793996305749,39.27685377313637,39.26570833568035,40.43003270138604,39.53692770778315,40.432343976682965,39.294996906041305,39.830747531650466,40.49829655127088
mean,45.91740506329114,57.283734939759036,43.31604226705091,55.53194263363755,54.67260940032415,44.620037807183365,55.74311926605505,62.54430379746835,78.7953216374269,48.792682926829265,56.49469964664311,52.30196078431373,67.18775510204081,69.83116883116882,53.71495327102804,69.05940594059406,57.42458100558659,75.00546448087432,65.55897435897435,53.93063583815029,33.33866666666667,47.195375176970266,42.83577099874634,43.79315768777035,46.178259217027744,44.34471365638767,43.54213381555154,41.92725337118524,45.58439265536723,44.8769551616267,45.35697074010327,44.12967409948542,44.03141003755548,45.3509843856076,44.337052062204194,45.226434082522644,44.12932482364797,44.6256323777403,45.453297623033144
upper,50.73898702791048,63.59651237710298,50.664100407255965,65.70295976948596,65.31238457196204,55.9366478409509,69.9915722103967,78.54625597310599,104.80228264169563,66.18852915169555,75.93707759267744,73.63010378960044,90.20557975913809,96.1711548405689,75.60704455886942,96.31626473401143,86.9097235799494,102.16472265929566,93.58610751285401,74.82143351534958,40.685929939623804,53.413445161132145,48.30198926809415,49.19830590897176,51.50352347086525,49.450737697283174,48.55283861965317,46.3056690541687,50.5728305619168,49.81462014201778,50.25600151714905,48.982494425834474,48.79711173943061,50.27193606982917,49.13717641662524,50.02052418836232,48.963652741254634,49.42051722383014,50.408298694795405
