curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=21|intra_community,k=22|intra_community,k=23|intra_community,k=24|intra_community,k=25|intra_community,k=26|intra_community,k=27|intra_community,k=28|intra_community,k=29|intra_community,k=30|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community,k=21|inter_community,k=22|inter_community,k=23|inter_community,k=24|inter_community,k=25|inter_community,k=26|inter_community,k=27|inter_community,k=28|inter_community,k=29|inter_community,k=30|inter_community
lower,0.19119145686391545,0.42784058607794617,0.5141737858414379,0.5407202679261258,0.5918674787893752,0.6026321957626986,0.6070737477983821,0.6433213772079783,0.6604076138086064,0.6340525226419649,0.6675472770737827,0.6844770093543376,0.6652485837766776,0.6784331188938137,0.6697500255429069,0.7142640490726644,0.6780925380229036,0.6613502847212448,0.6874126663828333,0.666799356278881,0.6890885415117378,0.6867758042510632,0.6884706086714855,0.6951669477081188,0.6890440020093332,0.7172820197621121,0.6896966458017909,0.7166079738406029,0.6919824307254694,0.7067116736837746,-0.047466946620643366,0.025470730809208714,0.060509063088254086,0.05266896172753433,0.10058475283251782,0.10976944409848333,0.1113466067961379,0.11837140803064618,0.13020481926673313,0.12333113734971435,0.12373084227786157,0.13753007958881328,0.1472611748706415,0.14159080486619846,0.13440192704961346,0.15084236072683918,0.1506753308750049,0.15652280782668138,0.15277198103467687,0.14776499578732114,0.15020057738820627,0.15519202154286904,0.15411886955282034,0.15740817366350057,0.16041667933903955,0.16471942539939782,0.16302079372237915,0.164589005343755,0.16155484076670912
mean,0.19204351862852337,0.4288098034008611,0.5152750124862515,0.541838687709404,0.5929043539460521,0.6037051335095283,0.6082661160936094,0.6443925519800476,0.6614711634522402,0.6354000784785548,0.6685837943401535,0.6854087990074399,0.6665237935868433,0.67969025721857,0.6709125880414324,0.7152466558192433,0.6793682039950848,0.6627050054344252,0.6888331937532219,0.6682001351748977,0.6902917811382866,0.6880196025648735,0.6897988623637837,0.6964380569620956,0.6903877349157534,0.7185812959676099,0.6913129865494474,0.7180151065480281,0.6935647728123226,0.7081412666633913,-0.04662618245300444,0.026283959536322565,0.061355232176207156,0.053460990420733864,0.10143120789636245,0.11061457733335749,0.11217809607681252,0.11920089219897924,0.13104785228365248,0.12416251839389003,0.12455722117959454,0.13836878163442323,0.14810286015680252,0.14243280289067134,0.1352252605991148,0.1516861345886854,0.15152256239341255,0.15736632635238074,0.1536183903014274,0.14860462635023747,0.15104200058410147,0.15603529103255595,0.15496040698348362,0.15825246076818528,0.16125734166567215,0.16556574791486728,0.16386269076391172,0.16543506763373161,0.1623974628701908
upper,0.1928955803931313,0.42977902072377605,0.5163762391310651,0.5429571074926822,0.5939412291027291,0.604778071256358,0.6094584843888367,0.6454637267521169,0.6625347130958741,0.6367476343151448,0.6696203116065242,0.6863405886605422,0.667799003397009,0.6809473955433263,0.6720751505399579,0.7162292625658222,0.680643869967266,0.6640597261476057,0.6902537211236106,0.6696009140709145,0.6914950207648354,0.6892634008786838,0.691127116056082,0.6977091662160724,0.6917314678221737,0.7198805721731076,0.6929293272971039,0.7194222392554533,0.6951471148991759,0.7095708596430079,-0.04578541828536552,0.027097188263436416,0.062201401264160225,0.0542530191139334,0.10227766296020709,0.11145971056823165,0.11300958535748713,0.1200303763673123,0.13189088530057183,0.12499389943806571,0.1253836000813275,0.1392074836800332,0.14894454544296354,0.14327480091514422,0.13604859414861614,0.15252990845053163,0.1523697939118202,0.1582098448780801,0.15446479956817794,0.1494442569131538,0.15188342377999667,0.15687856052224286,0.1558019444141469,0.15909674787286998,0.16209800399230476,0.16641207043033673,0.16470458780544428,0.16628112992370822,0.16324008497367248
