curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=21|intra_community,k=22|intra_community,k=23|intra_community,k=24|intra_community,k=25|intra_community,k=26|intra_community,k=27|intra_community,k=28|intra_community,k=29|intra_community,k=30|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community,k=21|inter_community,k=22|inter_community,k=23|inter_community,k=24|inter_community,k=25|inter_community,k=26|inter_community,k=27|inter_community,k=28|inter_community,k=29|inter_community,k=30|inter_community
lower,0.20010866657472673,0.4574628002402159,0.5205896757542603,0.5448620574087412,0.5867438682399411,0.5877623289111009,0.6146313226240231,0.6483926499537386,0.6639074772566392,0.6870026570832041,0.6705696844227172,0.6935664739216933,0.6990403669743099,0.7011720111371431,0.7125529466989131,0.6988102065752387,0.7134589233291572,0.7180297188128296,0.7100131412621814,0.7170204783357421,0.7209196704531986,0.7197639803053755,0.7060952907708187,0.7254737386031344,0.7243845435288413,0.7243199029203335,0.7229787505702842,0.726279861393999,0.733368060559366,0.7255619623524889,-0.05896656555287594,-0.014717097541871216,0.012445811865948822,0.008294557462303556,0.024296677196549626,0.055538122526766154,0.0676288735058128,0.06899312863220088,0.09033858970221718,0.07421599851628953,0.09599636972378843,0.09617531157368579,0.09123789896626064,0.12015743308820448,0.09896793508148312,0.10727215110531789,0.12583200220820698,0.1270272091839808,0.11034177066147612,0.11117051055043611,0.1316268259230863,0.1372119031458167,0.13958540698430544,0.14985613896467645,0.13994248173738313,0.14734342899487096,0.1425115238531195,0.15836520171110677,0.1557621965276476
mean,0.20090526841440956,0.4582858595904192,0.5213890111953929,0.5456850868188344,0.5874334160124216,0.5885234908686968,0.6154339925034155,0.6491318781963753,0.6645662849853399,0.687687489134386,0.6711826739638294,0.6942481574815693,0.6996451737150349,0.7016962940203586,0.7131573342080669,0.6994372906779945,0.7140160449525512,0.7186280523675204,0.7107635974926336,0.717530760152323,0.7214152491857153,0.720411511491061,0.7068561872275038,0.7260801151194466,0.7250848261558595,0.7249473276313999,0.7236297670368672,0.7268897201246725,0.7341257055576709,0.7262810065141796,-0.05825445127203318,-0.014003485612674414,0.01317396227117277,0.008974039767525747,0.02499762420538398,0.05626141651298911,0.06834434900849651,0.06970175162307639,0.09106122082087205,0.07493037821001235,0.09672296592270294,0.09690116392955121,0.0919573991577684,0.1209068667226917,0.0996973177449665,0.1080055756967968,0.12658525123969536,0.12778283019643522,0.11107823451565449,0.11190599416259396,0.1323847951091557,0.1379795231589552,0.14034955413627265,0.15062890964745182,0.14070718472423208,0.14811500184404858,0.14327807590611655,0.15914178477152383,0.15653913008148476
upper,0.2017018702540924,0.45910891894062245,0.5221883466365256,0.5465081162289277,0.5881229637849021,0.5892846528262927,0.6162366623828078,0.649871106439012,0.6652250927140405,0.688372321185568,0.6717956635049415,0.6949298410414453,0.7002499804557598,0.7022205769035741,0.7137617217172207,0.7000643747807503,0.7145731665759453,0.7192263859222111,0.7115140537230858,0.7180410419689038,0.721910827918232,0.7210590426767465,0.7076170836841889,0.7266864916357588,0.7257851087828776,0.7255747523424663,0.7242807835034503,0.7274995788553459,0.7348833505559758,0.7270000506758703,-0.05754233699119042,-0.013289873683477612,0.013902112676396716,0.009653522072747939,0.025698571214218334,0.05698471049921207,0.06905982451118022,0.0704103746139519,0.09178385193952691,0.07564475790373516,0.09744956212161744,0.09762701628541663,0.09267689934927617,0.12165630035717892,0.10042670040844988,0.1087390002882757,0.12733850027118374,0.12853845120888963,0.11181469836983286,0.11264147777475181,0.13314276429522512,0.13874714317209372,0.14111370128823986,0.1514016803302272,0.14147188771108102,0.1488865746932262,0.1440446279591136,0.15991836783194088,0.1573160636353219
