curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,24.63776229966354,26.15575717737501,37.30347664483204,37.068753174310366,27.84723281630908,34.79567813261288,33.16033241720882,32.88958261071845,29.180215669683566,37.27681981829316,35.83845132065138,35.92905184069161,32.89605904964014,32.3882823170329,32.64653468373493,37.90066960818177,29.816338515397742,32.60932651701911,32.72106185154259,33.83282488478282,21.469551103669392,17.42531807316918,19.60749249327781,23.0657698548149,21.79041468771099,22.353958712932016,22.749709954149015,23.400749380658937,22.463352474536865,22.80131554262487,22.93566272287359,23.29172558798205,23.385601225058952,23.415743213412284,22.88431087392154,23.693553560925082,23.572552771201117,23.496748598530075,23.57205217747335
mean,26.18675313757281,28.47311118442758,40.741426238432226,40.96499166468207,31.362789384528515,39.54488950276243,38.5143733231123,38.22036953582695,34.75560975609756,44.13399231191653,42.165099882491184,42.406909788867566,38.99610642439974,38.77090414683889,39.32708933717579,45.9825327510917,36.86144578313253,40.327556325823224,41.18136020151133,41.932057416267945,23.436772486772487,18.98779393286663,21.20411112895455,24.788421935779116,23.374718325216254,23.89661065223583,24.33677428294305,24.983838937204684,23.983279395900755,24.36780148485051,24.50669317428761,24.880558496559026,24.967461467527336,24.99194235178513,24.406571110674783,25.26172920065253,25.133879605135814,25.031755270986935,25.13256022552537
upper,27.735743975482084,30.790465191480152,44.17937583203241,44.86123015505377,34.87834595274795,44.29410087291198,43.868414229015784,43.551156460935445,40.331003842511564,50.991164805539896,48.49174844433099,48.88476773704352,45.096153799159346,45.15352597664487,46.00764399061666,54.064395894001635,43.906553050867316,48.045786134627335,49.64165855148007,50.031289947753066,25.40399386987558,20.55026979256408,22.800729764631292,26.511074016743333,24.95902196272152,25.43926259153964,25.923838611737086,26.56692849375043,25.503206317264645,25.93428742707615,26.077723625701626,26.469391405136,26.54932170999572,26.568141490157977,25.928831347428027,26.829904840379974,26.69520643907051,26.566761943443794,26.693068273577392
