curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,0.7814109757252177,0.7902335530931516,0.7869150714213435,0.7945116079076942,0.8030464226994989,0.8097557369271718,0.805265294559648,0.8056920938142891,0.803780152550115,0.8111247035073206,0.8046716034512321,0.814967131662093,0.8103581915122837,0.8150901115018289,0.8087530811666992,0.8070684299715817,0.810775764117231,0.8118874005340172,0.8155437343305387,0.8122938770810394,0.7723645452882525,0.7782694793706076,0.7762112856769383,0.7750633198532578,0.7747018292303459,0.7768013577626212,0.7777577598299408,0.778365460911762,0.7778410353615425,0.7789703557181311,0.7780604365925587,0.7787242190503513,0.7785723198528027,0.779253628301803,0.7795411941121365,0.7794238522038326,0.7794381440341045,0.7792577505623761,0.7796207798696836
mean,0.7816800589553048,0.7906629308894217,0.7874208353078209,0.7950265118507899,0.8036377255331795,0.8104098903917206,0.8060157627155571,0.8065817159243135,0.8046671876966638,0.8120861090297049,0.8057292236793988,0.8159992109162088,0.8113722035788364,0.8161958576980534,0.8098816639782336,0.808307472925023,0.8120659588300305,0.8131274265006381,0.816777518808917,0.813642547578965,0.7726797590545753,0.7785799271175043,0.7765231216735475,0.7753583390799277,0.7749876020619519,0.777083216996707,0.7780335811571321,0.7786438191490326,0.7781153998304098,0.7792443663184049,0.7783336296278638,0.7789999227311735,0.7788452832510481,0.7795278805999399,0.779813886158249,0.7796956224394901,0.7797110708676109,0.779530385949931,0.7798926491321688
upper,0.7819491421853919,0.7910923086856919,0.7879265991942983,0.7955414157938856,0.80422902836686,0.8110640438562694,0.8067662308714662,0.8074713380343379,0.8055542228432125,0.8130475145520892,0.8067868439075655,0.8170312901703245,0.8123862156453892,0.8173016038942779,0.811010246789768,0.8095465158784644,0.8133561535428301,0.814367452467259,0.8180113032872953,0.8149912180768907,0.7729949728208981,0.778890374864401,0.7768349576701568,0.7756533583065975,0.775273374893558,0.7773650762307929,0.7783094024843233,0.7789221773863032,0.7783897642992771,0.7795183769186786,0.7786068226631688,0.7792756264119957,0.7791182466492934,0.7798021328980769,0.7800865782043614,0.7799673926751476,0.7799839977011174,0.7798030213374858,0.7801645183946541
