interval,id,cell,entry,exit
4,2,272,1211897238,1211897238
4,2,471,1211897291,1211897291
4,2,591,1211897351,1211897351
4,2,590,1211897418,1211897418
4,2,588,1211897472,1211897472
4,2,627,1211897533,1211897533
4,2,707,1211897593,1211897593
4,2,747,1211897621,1211897621
4,2,708,1211897681,1211897681
4,2,709,1211897741,1211897741
4,2,748,1211897793,1211897942
4,2,709,1211898002,1211898002
4,2,589,1211898062,1211898122
4,2,592,1211898182,1211898182
4,2,391,1211898249,1211898249
4,2,233,1211898299,1211898299
4,2,34,1211898349,1211898349
4,2,113,1211899456,1211899456
4,2,312,1211899509,1211899509
4,2,514,1211899602,1211899602
4,2,715,1211899662,1211899662
4,2,755,1211899682,1211899682
4,2,795,1211899742,1211899742
4,2,835,1211899802,1211899802
4,2,834,1211899862,1211899862
4,2,833,1211899923,1211899923
4,2,872,1211899983,1211899983
4,2,912,1211900045,1211900045
4,2,952,1211900105,1211900105
4,2,994,1211900272,1211900332
4,3,634,1211898398,1211898460
4,3,594,1211898519,1211898519
4,3,592,1211898585,1211898585
4,3,588,1211898706,1211898762
4,3,667,1211898822,1211898822
4,3,668,1211898860,1211898860
4,3,627,1211898912,1211898962
4,3,707,1211899022,1211899022
4,3,747,1211899082,1211899082
4,3,827,1211899150,1211899150
4,3,907,1211899202,1211899269
4,3,988,1211899334,1211899334
4,3,949,1211899383,1211899460
4,3,989,1211899515,1211899515
4,3,1028,1211899575,1211899702
4,3,1068,1211899760,1211899760
4,3,1108,1211899825,1211899825
4,3,1147,1211899859,1211899883
4,3,1148,1211899912,1211899976
4,3,1108,1211900024,1211900024
4,3,1069,1211900094,1211900094
4,3,1070,1211900145,1211900145
4,3,1071,1211900207,1211900207
4,3,992,1211900276,1211900276
4,3,953,1211900327,1211900327
4,3,795,1211900390,1211900390
4,6,748,1211889604,1211889604
4,6,669,1211889665,1211889665
4,6,589,1211889725,1211889725
4,6,595,1211889847,1211889970
4,6,634,1211890030,1211895254
4,6,594,1211895296,1211895324
4,6,591,1211895386,1211895386
4,6,589,1211895445,1211895445
4,6,588,1211895505,1211895505
4,6,667,1211895569,1211895569
4,6,707,1211895601,1211895601
4,6,747,1211895661,1211895661
4,6,827,1211895721,1211895721
4,6,830,1211895781,1211895781
4,6,832,1211895841,1211895908
4,6,912,1211895968,1211895968
4,6,953,1211896028,1211896028
4,6,994,1211896089,1211896089
4,6,1035,1211896149,1211896149
4,6,1075,1211896212,1211896212
4,6,1036,1211896234,1211896234
4,6,1035,1211896294,1211896354
4,6,1074,1211896414,1211896414
4,6,1113,1211896475,1211896475
4,6,1152,1211896535,1211896535
4,6,1151,1211896597,1211897263
4,6,1152,1211897324,1211897324
4,6,1111,1211897384,1211897566
4,6,1152,1211897626,1211897626
4,6,1111,1211897832,1211898229
4,6,1112,1211898289,1211898289
4,6,1073,1211898349,1211898349
4,6,1032,1211898409,1211898409
4,6,950,1211898471,1211898471
4,6,989,1211898531,1211898531
4,6,1028,1211898591,1211898591
4,6,1027,1211898651,1211898651
4,6,986,1211898712,1211898712
4,6,985,1211898772,1211898772
4,6,984,1211898833,1211898833
4,6,941,1211898895,1211898895
4,6,939,1211898954,1211898954
4,6,938,1211899017,1211899017
4,6,937,1211899061,1211899192
4,6,897,1211899252,1211899252
4,6,857,1211899312,1211899312
4,6,817,1211899372,1211899372
4,6,776,1211899433,1211899472
4,6,775,1211899532,1211899532
4,6,776,1211899592,1211899652
4,6,817,1211899712,1211899779
4,6,897,1211899839,1211899839
4,6,898,1211899899,1211899899
4,6,899,1211899929,1211899929
4,6,900,1211899989,1211899989
4,6,902,1211900051,1211900051
