curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,93.96028281654274,113.79678276849015,114.95922615591557,114.43154604399805,116.37329921231115,121.23662474609826,114.44035605207385,116.94501121290813,110.25618557437427,111.42794624109804,131.51880879177406,104.78545577991451,122.05590580494083,120.27572574645218,123.9799869546988,136.41176390029804,144.60526014182366,146.0865944146136,130.1387297650659,143.76177263653406,57.99711637336493,77.77621095826494,82.07772173081293,83.45906580634127,83.11586493286416,86.30731500541438,86.08312873685065,88.31051970053292,88.40713779389488,85.33370009938342,89.79238639353677,88.3839056004752,88.21611563934327,88.18646097369394,87.43209851406588,86.84584288052956,86.94652948012076,88.17087792249647,87.68441634495403
mean,100.91002390438247,124.40972331600777,129.4792352156514,131.53284504463264,135.43486590038313,142.10696969696968,136.48878437047756,139.35672514619884,134.57643097643097,137.37654171704958,160.72552404438963,132.17089817089817,156.74410659378202,153.15485893416928,158.32288828337875,176.205147906262,185.28802844725405,189.12520729684908,169.11505122143421,188.2203932327389,64.60253082414017,84.95072031793343,89.0894553165172,90.42647608758881,89.93525731584258,93.3006538476419,93.09357981130628,95.338558692422,95.37444933920705,92.0318448023426,96.77793013856812,95.16528402699663,94.99691325172964,94.98280530257745,94.09808146809398,93.50603245042296,93.56358112074025,94.90716787460555,94.36802795669453
upper,107.8597649922222,135.0226638635254,143.99924427538727,148.63414404526722,154.4964325884551,162.97731464784113,158.53721268888128,161.76843907948955,158.89667637848765,163.3251371930011,189.9322392970052,159.55634056188183,191.4323073826232,186.0339921218864,192.6657896120587,215.99853191222596,225.97079675268444,232.16382017908458,208.09137267780253,232.67901382894374,71.20794527491542,92.12522967760192,96.10118890222148,97.39388636883635,96.754649698821,100.29399268986941,100.10403088576192,102.36659768431107,102.34176088451922,98.72998950530179,103.76347388359947,101.94666245351806,101.777710864116,101.77914963146095,100.76406442212208,100.16622202031637,100.18063276135975,101.64345782671462,101.05163956843504
