curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,63.428092003643705,102.6723195343028,70.9391689969361,76.26454918788377,64.61323842913686,73.39571580727568,108.76729758850698,99.21008014488416,54.27980312898718,83.08568286431667,53.935915282571244,69.79012297774241,83.82417770882606,45.64319451673557,47.03629217007944,84.43000657283442,86.60615929440866,125.48217619769227,25.947517269897183,60.463975741974465,13.658850829368241,53.04413853614683,52.895505471435015,57.65555549771358,57.045481570065284,50.529024445169554,53.70529679859016,60.98088434040218,56.76865388673105,60.442166746244176,59.17478259454782,57.94085679004397,60.93086639336245,62.28436983071676,57.84674543331901,57.97471879884657,54.871435646640904,62.577746997710015,59.87331495191922
mean,75.63841807909604,124.65524625267666,90.65853658536585,108.51063829787235,95.91202346041055,103.17021276595744,158.8790322580645,146.4600938967136,90.1413043478261,132.46153846153845,99.71098265895954,118.5,134.95104895104896,104.0,81.46153846153847,168.09259259259258,166.43809523809523,227.33333333333334,85.96116504854369,138.57142857142858,20.875598086124402,68.42976588628763,65.31551596139569,70.80055983205038,70.42069892473118,62.074901445466494,65.94990366088632,73.95586380832283,69.12594458438288,73.03068252974327,71.72749691738595,70.42532267977873,73.20245398773007,75.17682926829268,69.63056558363418,69.91231231231231,66.07207207207207,75.000599880024,71.94976076555024
upper,87.84874415454837,146.63817297105052,110.3779041737956,140.75672740786092,127.21080849168425,132.9447097246392,208.99076692762205,193.71010764854304,126.002805566665,181.83739405876025,145.48605003534783,167.2098770222576,186.07792019327186,162.35680548326442,115.8867847529975,251.75517861235073,246.2700311817818,329.18449046897445,145.9748128271902,216.6788814008827,28.092345342880563,83.81539323642842,77.73552645135636,83.94556416638719,83.79591627939708,73.62077844576343,78.19451052318249,86.9308432762435,81.4832352820347,85.61919831324236,84.28021124022408,82.9097885695135,85.47404158209768,88.06928870586859,81.41438573394935,81.84990582577805,77.27270849750325,87.42345276233797,84.02620657918126
