curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,79.0965392745764,105.99461256991589,121.9825169294668,87.06363043626244,84.87954386400628,89.45296928328999,85.27872623285567,70.86250875589364,82.68066356356417,77.9885322548574,77.43616109708516,83.61210712635555,94.70423379052221,88.49314454569901,76.11142228072082,80.11052517184352,81.03528270091373,118.91125159498205,86.13937602472413,86.63814469159931,48.01682486553452,51.926813875904486,72.87656590772518,74.78282929889166,74.04854634088726,75.66717308870905,78.4224880500369,76.85208758232115,77.39727702265648,77.49597095472662,76.86979096953276,76.06754827714855,76.78538248908997,77.85662646176083,77.56298446592876,77.50206936048677,74.67412218835298,77.18246660624015,77.15478227580331
mean,84.85999015748031,115.98623402163226,135.1047355686139,99.04021210782147,97.79094466182225,104.3699421965318,102.22815533980582,86.12446717817562,99.62527233115469,95.09766454352442,96.46209386281589,104.75133689839572,116.90468986384266,111.47840531561462,98.36206896551724,103.6599634369287,105.05597014925372,149.2986512524085,111.63095238095238,112.328,53.672413793103445,57.09340974212034,79.38857630008525,81.21060104117369,80.23710241972303,81.74521183981427,84.64672897196262,82.98002773925104,83.51795157250208,83.538714540222,82.84390243902439,82.023302531137,82.73079989370183,83.82246952835189,83.5034955810579,83.4341412012645,80.46471284005783,83.09024134312696,83.05951756685894
upper,90.62344104038422,125.97785547334863,148.22695420776103,111.0167937793805,110.70234545963822,119.2869151097736,119.17758444675597,101.3864256004576,116.56988109874521,112.20679683219143,115.48802662854662,125.89056667043589,139.10514593716312,134.46366608553024,120.61271565031366,127.20940170201389,129.0766575975937,179.68605090983493,137.12252873718063,138.0178553084007,59.32800272067237,62.2600056083362,85.90058669244532,87.63837278345572,86.4256584985588,87.8232505909195,90.87096989388833,89.10796789618094,89.63862612234769,89.58145812571739,88.81801390851602,87.97905678512547,88.67621729831369,89.78831259494295,89.44400669618705,89.36621304204222,86.25530349176267,88.99801608001377,88.96425285791457
