curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,42.503229959519956,40.09439399431886,48.87815164430509,51.20989256792733,47.145120292960854,56.9893863726403,46.70061437011389,51.04617287820686,41.14972929674551,59.578604152369294,47.72587543746444,48.06845074605454,47.37753753001284,39.17707349909322,42.10985443334201,41.43526529411288,45.06119297012974,43.05982351581506,40.14527623459772,52.289972903968916,40.661451025612905,36.39513504469138,36.90315344980159,39.616550535031365,37.51563390480701,39.78184393212076,39.67671138909538,41.26674687889882,38.594111724925796,40.20964721912833,40.3455806044908,40.93507565672086,41.85600107016534,41.69900802252865,41.658633417626156,41.46553041569902,41.47517464786258,41.22704611897888,40.76597950848833
mean,47.73113553113553,46.503811503811505,57.132928847214565,60.574616457461644,55.51152073732719,68.2071129707113,59.93669402110199,65.2065868263473,53.452859350850076,78.69035532994924,66.34358047016275,67.42454728370221,62.04081632653061,50.891891891891895,53.433497536945815,54.53164556962025,58.82857142857143,58.80898876404494,66.08358208955224,71.64350453172206,49.107226107226104,43.05730737592542,43.156482861400896,45.8016,43.38499111900533,45.47123941827653,45.29507512520868,46.96197797631415,43.97330047237626,45.63358467495415,45.75901672375579,46.47379956166567,47.451355661881976,47.27305104867432,47.20078973346496,46.97103718199609,46.958463949843264,46.53151219512195,46.18795086761552
upper,52.9590411027511,52.913229013304154,65.38770605012404,69.93934034699596,63.87792118169352,79.42483956878229,73.1727736720901,79.36700077448775,65.75598940495463,97.80210650752919,84.96128550286106,86.78064382134988,76.70409512304839,62.60671028469057,64.75714064054962,67.62802584512762,72.59594988701312,74.55815401227483,92.02188794450674,90.9970361594752,57.5530011888393,49.71947970715946,49.4098122730002,51.986649464968636,49.254348333203644,51.16063490443231,50.913438861321985,52.65720907372948,49.35248921982672,51.05752213077997,51.172452843020785,52.01252346661048,53.04671025359861,52.847094074819985,52.74294604930376,52.476543948293155,52.44175325182395,51.83597827126501,51.60992222674271
