curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,0.10203955845108818,0.11867428195745919,0.13371048203997132,0.14815157639342108,0.1631040743975201,0.1654509828077573,0.15772158317357637,0.1847590539239827,0.14726207678065936,0.17599459428883096,0.1602578557377612,0.16813751107893823,0.16612360429417825,0.14711346076919202,0.16343119847314505,0.17493253606482792,0.17327051468375418,0.1669925785015038,0.17369019100845695,0.13988498288002904,0.08242384336192946,0.08415281362082587,0.0841298370716385,0.08544560000331078,0.08856787471832427,0.09103531107095592,0.08828512844617217,0.09436463586202642,0.09188555730910426,0.09370093951658873,0.0944406778812284,0.09464898960744983,0.09626388740255806,0.09613231152009703,0.09511777048200343,0.09529566464810324,0.09595985145065017,0.09592923170795455,0.09843119492540128
mean,0.10611251216021408,0.12472115601161918,0.14197345019252922,0.1580580216269199,0.1743128794645632,0.17787391663948507,0.17081651411391677,0.19919186561775978,0.16269597224405596,0.19244429669806035,0.17679030872633658,0.18564413723103046,0.18518346197793134,0.16604075378888875,0.1837966044887731,0.19633964411834792,0.19472957015161416,0.1886611591804815,0.1961858225029258,0.163361039746574,0.08775448977482117,0.08849926289918653,0.0881921008396332,0.08948178309864759,0.09262714756008261,0.09512181255538817,0.09221105028019104,0.09841309397165537,0.09585310919364322,0.09771338083630066,0.09847944597694687,0.09863084529434474,0.10027944710398227,0.10015862187225881,0.0990789720319308,0.09926262392837731,0.0999476769546932,0.09991181325981001,0.10246567085964067
upper,0.11018546586933999,0.13076803006577917,0.1502364183450871,0.16796446686041872,0.1855216845316063,0.19029685047121284,0.18391144505425716,0.21362467731153686,0.17812986770745257,0.20889399910728973,0.19332276171491197,0.20315076338312268,0.20424331966168444,0.18496804680858547,0.20416201050440116,0.21774675217186792,0.21618862561947413,0.2103297398594592,0.21868145399739464,0.18683709661311898,0.09308513618771289,0.09284571217754718,0.09225436460762791,0.09351796619398439,0.09668642040184096,0.09920831403982042,0.0961369721142099,0.10246155208128432,0.09982066107818217,0.10172582215601259,0.10251821407266534,0.10261270098123965,0.10429500680540649,0.10418493222442059,0.10304017358185819,0.10322958320865139,0.10393550245873623,0.10389439481166547,0.10650014679388006
