curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,60.662052523740755,67.63154910318696,59.103700525633826,52.62033203825523,80.5508172725784,70.93950072427027,77.9373340720119,73.86009687448139,67.77062735527612,114.47403591191676,91.81573969367898,82.49526832918042,69.76012849380461,72.91293042406431,87.04984887501833,134.51588174014907,85.5212969230171,78.31989589915315,68.36094160930207,88.87072038921893,47.82499446406842,57.31652666706556,60.18472557196964,52.27214884387301,55.31309143266283,54.12018726995759,55.607686284983124,57.162795297945515,50.42481521858783,54.201400910592135,55.4580608024165,57.5544646218263,57.24115946986197,55.98609311936712,51.523228771727055,56.73377791995266,56.80742792179234,58.25857474099707,57.15342513905091
mean,67.96460176991151,78.1453634085213,70.54911955514365,64.83018867924528,98.75403535741737,90.78905560458959,101.45164410058027,97.07624309392266,92.28475935828877,148.36484687083887,125.80513595166163,113.04531722054381,100.7560975609756,107.3767258382643,120.30576923076923,186.4838056680162,124.80240963855422,117.16244725738396,98.93896713615024,125.1361111111111,57.96244998461065,66.66238617791268,69.08493150684932,60.17140077821011,63.09269027882441,61.56075457739967,63.20556358381503,64.76919023362024,57.35289982425308,61.33881294341582,62.8004845128915,65.00626269465133,64.59723626558814,63.36784326971795,58.11955607869514,64.05028211085298,64.05647729177142,65.77090606816293,64.58000328893274
upper,75.26715101608227,88.65917771385566,81.99453858465347,77.04004532023534,116.95725344225633,110.63861048490891,124.96595412914864,120.29238931336393,116.79889136130141,182.255657829761,159.79453220964427,143.5953661119072,131.7520666281466,141.8405212524643,153.56168958652012,238.45172959588334,164.08352235409134,156.00499861561477,129.5169926629984,161.4015018330033,68.09990550515289,76.0082456887598,77.98513744172898,68.07065271254721,70.872289124986,69.00132188484174,70.80344088264694,72.37558516929496,64.28098442991832,68.47622497623951,70.1429082233665,72.45806076747635,71.9533130613143,70.74959342006878,64.71588338566323,71.3667863017533,71.30552666175049,73.2832373953288,72.00658143881458
