curve,all_pairs,k=2|intra_community,k=3|intra_community,k=4|intra_community,k=5|intra_community,k=6|intra_community,k=7|intra_community,k=8|intra_community,k=9|intra_community,k=10|intra_community,k=11|intra_community,k=12|intra_community,k=13|intra_community,k=14|intra_community,k=15|intra_community,k=16|intra_community,k=17|intra_community,k=18|intra_community,k=19|intra_community,k=20|intra_community,k=2|inter_community,k=3|inter_community,k=4|inter_community,k=5|inter_community,k=6|inter_community,k=7|inter_community,k=8|inter_community,k=9|inter_community,k=10|inter_community,k=11|inter_community,k=12|inter_community,k=13|inter_community,k=14|inter_community,k=15|inter_community,k=16|inter_community,k=17|inter_community,k=18|inter_community,k=19|inter_community,k=20|inter_community
lower,0.028390038969480596,0.03253743231110018,0.036324953224519514,0.04704527773373537,0.043512346095059995,0.053834153935128415,0.05366534048856125,0.04398017966009236,0.07008933601814914,0.08725516361479702,0.0821094927643615,0.05820205931170811,0.04262995443386093,0.05121001799855433,0.05752185809703466,0.04997077261852262,0.07626335587311452,0.03596622277826157,0.06134157107685864,0.04921854497205372,0.019296729687304864,0.019418181200198614,0.017939720262815515,0.021045821420845264,0.018646273273086246,0.01909536683011092,0.02206080908569852,0.01960389258980403,0.01871059548483227,0.020640386424348314,0.020981065269333816,0.024094358169741103,0.022698843569387547,0.023126930745435988,0.02329051909270057,0.021786586722364016,0.025286975429960487,0.02299768438763157,0.023929934728887912
mean,0.032081449300857594,0.03803158176706918,0.04310536738573974,0.05615788066130914,0.053763623854406625,0.06533710642334292,0.06551295001243984,0.055836590183352124,0.08648681165336865,0.10703706390354753,0.10414422139663103,0.07325403806121188,0.057793138826039044,0.06761504340387713,0.07775688812315298,0.06803130763001862,0.09992327079974928,0.050850241304142105,0.0820522271803231,0.06848725964045477,0.023569454245027134,0.023158100540864375,0.021254178393198913,0.024414824044354074,0.02176686046072846,0.02222163038063408,0.02533339565394353,0.0227101907138222,0.021622526333040397,0.023673031043556777,0.024191371493669084,0.02744938192011682,0.025880956370129358,0.026330038346211945,0.026406944252681898,0.024849891092303646,0.028700173670208082,0.02625076601136664,0.02715536189624111
upper,0.03577285963223459,0.04352573122303818,0.04988578154695996,0.0652704835888829,0.06401490161375326,0.07684005891155743,0.07736055953631843,0.06769300070661188,0.10288428728858816,0.12681896419229804,0.12617895002890056,0.08830601681071565,0.07295632321821716,0.08402006880919992,0.0979919181492713,0.08609184264151462,0.12358318572638403,0.06573425983002264,0.10276288328378755,0.08775597430885582,0.027842178802749404,0.026898019881530136,0.02456863652358231,0.027783826667862884,0.024887447648370677,0.025347893931157238,0.02860598222218854,0.025816488837840372,0.024534457181248522,0.02670567566276524,0.027401677718004353,0.03080440567049254,0.02906306917087117,0.0295331459469879,0.029523369412663227,0.027913195462243277,0.03211337191045568,0.029503847635101707,0.030380789063594305
